,Judul Berita,Tanggal Berita
0,"Tergiur Kerja di Qatar dengan Gaji Tinggi, 21 TKI Ilegal Diciduk Tim Satgas","10/01/2021, 19:00 WIB"
1,"Link Live Streaming Chelsea Vs Morecambe, Kick-off 20.30 WIB","10/01/2021, 19:00 WIB"
2,Gubernur Sutarmidji: Hampir Semua Penumpang Sriwijaya Air SJ 182 Warga Kalbar,"10/01/2021, 18:57 WIB"
3,"7 Tanaman Herba yang Cocok Ditanam di Pot, Apa Saja?","10/01/2021, 18:56 WIB"
4,"Sinopsis El Gringo, Agen DEA dan Tas Berisi 2 Juta Dolarnya","10/01/2021, 18:53 WIB"
5,"UPDATE Covid-19 di Jabar, Jateng, Banten, Sumsel, Babel, dan Lampung 10 Januari 2021","10/01/2021, 18:52 WIB"
6,Menhub Apresiasi Cepatnya Proses Pencarian Pesawat Sriwijaya SJ 182,"10/01/2021, 18:50 WIB"
7,"Tersesat di Hutan, 8 Pendaki Ditemukan Kedinginan hingga Hipotermia","10/01/2021, 18:47 WIB"
8,Kasus Pengaturan Skor 8 Atlet Bulu Tangkis - PBSI Respons Kritik MPBI ,"10/01/2021, 18:40 WIB"
9,Jepang Pertimbangkan Hukuman bagi Pasien Covid-19 yang Tak Mau Dirawat di RS,"10/01/2021, 18:37 WIB"
10,BCL Ungkap Sikap Dewasa Noah Sinclair Setelah Kepergian Ashraf,"10/01/2021, 18:35 WIB"
11,"Berkat Sinyal Black Box Pesawat, Lokasi Sriwijaya Air SJ 182 Ditemukan","10/01/2021, 18:34 WIB"
12,Pertamina Pastikan Stok LPG 3 Kg di Kabupaten Tasikmalaya Aman,"10/01/2021, 18:34 WIB"
13,[Update 10 Januari]: Ada 70.381 Suspect Covid-19 di Indonesia,"10/01/2021, 18:33 WIB"
14,Resep Ayam Kentucky ala Rumahan yang Renyahnya Tahan Lama,"10/01/2021, 18:33 WIB"
15,[Update 10 Januari]: Ada 70.381 Suspect Covid-19 di Indonesia,"10/01/2021, 18:33 WIB"
16,Resep Ayam Kentucky ala Rumahan yang Renyahnya Tahan Lama,"10/01/2021, 18:33 WIB"
17,"Dijebloskan Anak Kandungnya ke Penjara, Ibu: Saya Memaafkan yang Dia Lakukan","10/01/2021, 18:32 WIB"
18,Courtois Kecewa Laga Real Madrid Tetap Bergulir di Tengah Badai Salju,"10/01/2021, 18:30 WIB"
19,Sebanyak 106 Jemaah Umrah Perdana 2021 Tiba di Jeddah,"10/01/2021, 18:29 WIB"
20,"Marak Influencer Promosikan Saham, Ini Untung dan Ruginya","10/01/2021, 18:26 WIB"
21,"Tak Cuma Joe Biden, Anjingnya Juga Terima Inaugurasi ke Gedung Putih, Kenapa?","10/01/2021, 18:24 WIB"
22,Jasa Raharja Akan Beri Santunan Rp 50 Juta  ke Keluarga Korban Sriwijaya Air,"10/01/2021, 18:23 WIB"
23,"UPDATE Covid-19 di Jatim, DIY, Bali, NTT, NTB, Kalbar dan Kalsel 10 Januari 2021","10/01/2021, 18:22 WIB"
24,"Jadwal Piala FA, Pep Guardiola Melawan Mantan Asisten Mourinho","10/01/2021, 18:20 WIB"
25,"Sinopsis Get The Gringo, Kisah Sopir Gila di Penjara Meksiko","10/01/2021, 18:18 WIB"
26,306 Personel Dikerahkan untuk Identifikasi Jenazah Korban Kecelakaan Pesawat Sriwijaya Air SJ 182,"10/01/2021, 18:17 WIB"
27,"Nunung Mulyadi Meninggal, Mantan Asisten Persib Kehilangan","10/01/2021, 18:15 WIB"
28,Tim DVI RS Polri Terima 21 Sampel DNA dari Keluarga Korban Sriwijaya Air,"10/01/2021, 18:07 WIB"
29,"Spanyol Dihantam Badai Salju Parah, 4 Orang Tewas","10/01/2021, 18:06 WIB"
30,"Xiaomi Redmi 9T Resmi, Baterai 6.000 mAh Harga Rp 2,7 Jutaan","10/01/2021, 18:04 WIB"
31,4 Fakta Dinamika Atmosfer Sebelum Pesawat Sriwijaya SJ182 Jatuh,"10/01/2021, 18:03 WIB"
32,Tim DVI RS Polri Terima 7 Kantong Jenazah Korban Sriwijaya Air,"10/01/2021, 18:01 WIB"
33,7 Hal yang Bisa Terjadi Jika Aliran Darah Tidak Lancar,"10/01/2021, 18:00 WIB"
34,AC Milan Bisa Selamat berkat Si Gelandang Darurat ,"10/01/2021, 18:00 WIB"
35,"UPDATE Covid-19 di Kalteng, Kaltim, Kaltara, Gorontalo, Sulbar, Sulsel, dan Sultra 10 Januari 2021","10/01/2021, 17:59 WIB"
36,BCL: Ashraf Ingin agar Aku Bertumbuh,"10/01/2021, 17:58 WIB"
37,"Susunan Pemain dan Link Live Streaming Roma Vs Inter, Adu Tajam Dzeko Vs Lukaku","10/01/2021, 17:54 WIB"
38,Resep Salad ala Hokben yang Mudah Dibuat di Rumah,"10/01/2021, 17:53 WIB"
39,"Ricko Awalnya Pesan Tiket Maskapai Lain, tetapi Dialihkan ke Sriwijaya Air SJ 182","10/01/2021, 17:52 WIB"
40,"UPDATE Covid-19 di Sulteng, Sultra, Maluku, Malut, Papua, dan Papua Barat 10 Januari 2021","10/01/2021, 17:52 WIB"
41,"Ada Temuan Potongan Jenazah, Keluarga Korban Kecelakaan Sriwijaya Air Dibawa ke RS Polri","10/01/2021, 17:50 WIB"
42,"Fakta Seorang Wanita Dianiaya Oknum Satpol PP dengan Kayu hingga Babak Belur, Korban Lapor Polisi","10/01/2021, 17:49 WIB"
43,Luhut Minta Kapal Deteksi Canggih Dikerahkan Bantu Pencarian Pesawat Sriwijaya Air,"10/01/2021, 17:45 WIB"
44,"Simak, Cara Membersihkan Mesin Cuci dengan Baking Soda","10/01/2021, 17:45 WIB"
45,Keluarga Co Pilot Nam Air yang Menumpang Sriwijaya Air SJ 182: Perusahaan Memberi Kabar dan Minta Maaf...,"10/01/2021, 17:41 WIB"
46,"Tegur Dokter Tirta, Melly Goeslaw: Kenapa Foto Saya yang Diposting?","10/01/2021, 17:41 WIB"
47,Wida Agung Memulai Konstrukti Perumahan 1.000 Unit di Tangerang,"10/01/2021, 17:39 WIB"
48,"7 Tempat Paling Menyeramkan di Dunia, Apa Saja?","10/01/2021, 17:37 WIB"
49,"Kotak Hitam Sriwijaya Air SJ 182 Terdeteksi, Ada di Kedalaman 17-20 Meter","10/01/2021, 17:36 WIB"
50,UPDATE 10 Januari: Kasus Aktif Covid-19 Kini Ada 122.873,"10/01/2021, 17:34 WIB"
51,"Simak, Ini Aturan Perjalanan Menggunakan Transportasi Udara pada 9-25 Januari 2021","10/01/2021, 17:31 WIB"
52,"Lokasi Black Box Sriwijaya Air Ditemukan, KN SAR Basudewa Merapat Bawa Peralatan Khusus","10/01/2021, 17:27 WIB"
53,"Rege-Jean Page, Bintang Bridgerton, Buka Suara soal Masuk Bursa Pemeran James Bond","10/01/2021, 17:26 WIB"
54,Tim DVI Buka 3 Posko Antemortem untuk Korban Sriwijaya Air,"10/01/2021, 17:24 WIB"
55,Saat Megawati Sentil Jokowi soal Akurasi Data Desa...,"10/01/2021, 17:23 WIB"
56,Mabes TNI Cari Calon Perwira Prajurit Karir dari Lulusan D3 dan S1,"10/01/2021, 17:22 WIB"
57,"Ketua DPR AS dan Jenderal Pentagon Bahas Cara Mencegah Trump Melakukan ""Aksi Militer""","10/01/2021, 17:20 WIB"
58,LaMello Ball Ukir Rekor Pencetak Triple Double Termuda NBA,"10/01/2021, 17:20 WIB"
59,"Keluarga Co Pilot Nam Air yang Menumpang Sriwijaya Air SJ 182, Pantau Perkembangan dari Rumah karena Pandemi","10/01/2021, 17:19 WIB"
60,Dokter Ini Sebut Vaksin Covid-19 dari Sinopharm Paling Tidak Aman di Dunia,"10/01/2021, 17:12 WIB"
61,TNI Kerahkan Kapal Pengangkut untuk Angkat Badan Pesawat Sriwijaya Air,"10/01/2021, 17:12 WIB"
62,Ungkapan Cinta Ifan Seventeen ke Citra Monica: Akan Kuberikan Seluruh Hatiku,"10/01/2021, 17:09 WIB"
63,"Kejar Polisi saat Kerusuhan Gedung Capitol, Pria Ini Berhasil Ditangkap","10/01/2021, 17:07 WIB"
64,5 Anggota Satu Keluarga Jadi Korban Sriwijaya Air SJ 182,"10/01/2021, 17:07 WIB"
65,Ini Tanggapan Epidemiolog Soal Saran Luhut untuk Perbaikan WC di Tempat Wisata,"10/01/2021, 17:06 WIB"
66,"Tragedi Sriwijaya Air SJ 182, Bupati Bogor Berharap Pilot Kapten Afwan Ditemukan","10/01/2021, 17:05 WIB"
67,"Sriwijaya Air SJ 182 Berusia 26 Tahun, Apakah Usia Berpengaruh terhadap Kecelakaan Pesawat?","10/01/2021, 17:05 WIB"
68,"Sambut Tren Kendaraan Listrik, GM Ubah Logo Perusahaan","10/01/2021, 17:01 WIB"
69,"Kini Jadi Orang Terkaya Dunia, Elon Musk Ternyata Sempat Hampir Bangkrut","10/01/2021, 17:00 WIB"
70,Mencegah Kulit Iritasi Gara-gara Sering Pakai Hand Sanitizer,"10/01/2021, 17:00 WIB"
71,"Prioritas Vaksin Covid-19, Kenapa Lansia Tidak Divaksin Duluan?","10/01/2021, 17:00 WIB"
72,"Laga Internal Batal, Timnas U19 Indonesia Pilih Latihan di Gym","10/01/2021, 17:00 WIB"
73,"“Saya Memaafkan Ibu, tetapi Tidak Mau Mencabut Laporan, Biarlah Proses Hukum Tetap Berjalan”","10/01/2021, 16:55 WIB"
74,BNPB Beri Bantuan Logistik dan Peralatan dalam Pencarian Sriwijaya Air SJ 182,"10/01/2021, 16:54 WIB"
75,"Gaya Dekorasi Rumah yang Populer Selama 10 Tahun Terakhir, Apa Saja?","10/01/2021, 16:49 WIB"
76,"Ditelepon Anaknya Sebelum Terbang, Nanik: Saya Perkirakan Pesawat Landing, Saya Hubungi Enggak Bisa","10/01/2021, 16:47 WIB"
77,"Dua Sinyal Black Box Sriwijaya Air Sudah Bisa Dipantau, Lokasi Ditandai","10/01/2021, 16:46 WIB"
78,"Singgung Situasi AS, Megawati: Alhamdulillah Saya Warga Indonesia","10/01/2021, 16:43 WIB"
79,"UPDATE: Tambah 46.025, Total 7.883.009 Spesimen Covid-19 Telah Diperiksa","10/01/2021, 16:41 WIB"
80,"Ban Sudah Botak dan Kantung Cekak, Ganti Ban Depan atau Belakang?","10/01/2021, 16:41 WIB"
81,"Menumpang Sriwijaya Air SJ 182, Captain Didik Gunardi Hendak Ambil Pesawat di Pontianak","10/01/2021, 16:40 WIB"
82,"Link live Streaming AS Roma Vs Inter Milan, Kick-off 18.30 WIB ","10/01/2021, 16:40 WIB"
83,"Andien Aisyah: Urgent, Ayah Saya Membutuhkan Plasma Darah","10/01/2021, 16:39 WIB"
84,"Sudah Didistribusikan, seperti Ini Cara Penyimpanan Vaksin Sinovac","10/01/2021, 16:37 WIB"
85,"Masalah Aduan SPP oleh Wali Murid, KPAI Janjikan Segera Tuntas ","10/01/2021, 16:35 WIB"
86,Eks Kepala Bulog Beddu Amang Meninggal Dunia,"10/01/2021, 16:32 WIB"
87,"Sinyal Black Box Ditemukan, Panglima TNI Harap Bisa Segera Diangkat","10/01/2021, 16:32 WIB"
88,Dua Alumni ITS Ini Beberkan Cara Menggaet Investor untuk Startup,"10/01/2021, 16:28 WIB"
89,Megawati: Belasungkawa Mendalam atas Tragedi Jatuhnya Sriwijaya Air...,"10/01/2021, 16:26 WIB"
90,"Kementerian Pertahanan Inggris Gelontorkan Rp 4,5 Miliar untuk Pasukan Kursus Mengemudi","10/01/2021, 16:24 WIB"
91,BCL: Aku Belajar Bernapas hingga Melangkah Lagi,"10/01/2021, 16:22 WIB"
92,"Jangan Lupa, Ini Tanggal Penting SNMPTN dan UTBK-SBMPTN 2021","10/01/2021, 16:22 WIB"
93,Riski Lemes Dapat Kepastian 5 Anggota Keluarga Besarnya Jadi Korban Sriwijaya Air,"10/01/2021, 16:21 WIB"
94,"Diremajakan, Suzuki Jimny Jangkrik Pakai Mesin Turbo","10/01/2021, 16:21 WIB"
95,"Cukup Cuci Muka 2 Kali Sehari Bikin Kulit Lebih Sehat, Benarkah?","10/01/2021, 16:20 WIB"
96,"Demo Virus Corona di Swiss, Ini yang Jadi Orasi Demonstran","10/01/2021, 16:20 WIB"
97,"Chelsea Kena Semprot Legenda Timnas AS, Ada Apa?","10/01/2021, 16:20 WIB"
98,"Mengintip Hotel Daur Ulang Mahasiswa, Dilengkapi Resto dan Bar Terbuka","10/01/2021, 16:16 WIB"
99,Lokasi Diduga Tempat Black Box Pesawat Sriwijaya Air SJ-182 Ditemukan,"10/01/2021, 16:16 WIB"
100,Menlu AS: Washington Cabut Pembatasan Hubungan dengan Taiwan,"10/01/2021, 16:14 WIB"
101,"Fakta Bencana Longsor di Sumedang, Danramil dan Kasi BPBD Tewas Tertimbun Saat Bantu Evakuasi Warga","10/01/2021, 16:13 WIB"
102,BPJamsostek Pastikan Santunan Sampai kepada Ahli Waris Pekerja Korban Sriwijaya SJ182,"10/01/2021, 16:12 WIB"
103,"Anaknya Jadi Penumpang Sriwijaya Air SJ 182, Ayah Indah: Seharusnya Terbang ke Pontianak 10 Januari, tapi...","10/01/2021, 16:12 WIB"
104,"Longsor Tewaskan 13 Orang di Sumedang, BNPB Imbau Warga Mengungsi","10/01/2021, 16:05 WIB"
105,Covid-19 Meningkatkan Risiko Kematian Pasien Gagal Jantung Dua Kali Lipat,"10/01/2021, 16:05 WIB"
106,"Suami Positif HIV, Wanita Ini Aborsi Bayinya dan Ajukan Cerai","10/01/2021, 16:01 WIB"
107,"Sering Salah Kaprah, Ingat Lagi Bahaya Pakai Lampu Hazard Saat Hujan","10/01/2021, 16:01 WIB"
108,"Aubameyang Bawa Arsenal Menang, Ini Kata Mikel Arteta ","10/01/2021, 16:00 WIB"
109,"Memahami Dampak ""Mother Wound"", Luka Akibat Kurangnya Sosok Ibu","10/01/2021, 16:00 WIB"
110,RS Polri Buka Hotline untuk Korban Pesawat Sriwijaya Air SJ 182,"10/01/2021, 15:53 WIB"
111,"Senin, 11 Daerah di Jatim Terapkan PPKM, Termasuk Ngawi dan Madiun","10/01/2021, 15:51 WIB"
112,"Dibujuk Anggota DPR, Anak yang Laporkan Ibunya ke Polisi Tolak Cabut Laporan ","10/01/2021, 15:50 WIB"
113,Arie Untung Ungkap Cerita Pilot Sriwijaya Air SJ182 yang Ternyata Kakak Kelasnya di SMA,"10/01/2021, 15:45 WIB"
114,2 Jerapah Kerdil Ditemukan untuk Pertama Kalinya di Uganda dan Namibia,"10/01/2021, 15:43 WIB"
115,"Mengenal Sejarah Toyota Kijang di Indonesia, dari Buaya Hingga Innova","10/01/2021, 15:41 WIB"
116,"UPDATE: Bertambah 7.513, Pasien Sembuh Covid-19 Kini 681.024 Orang","10/01/2021, 15:39 WIB"
117,Alvin Lie: Usia Pesawat Tidak Ada Kaitannya dengan Laik Terbang dan Keamanan,"10/01/2021, 15:39 WIB"
118,"UPDATE: Tambah 182 Orang, Pasien Covid-19 Meninggal Capai 24.129","10/01/2021, 15:35 WIB"
119,Putin dan Raja Salman Berbelasungkawa atas Jatuhnya Sriwijaya Air SJ 182,"10/01/2021, 15:34 WIB"
120,Putin dan Raja Salman Berbelasungkawa atas Jatuhnya Sriwijaya Air SJ 182,"10/01/2021, 15:34 WIB"
121,"Profil Mulyadi Tamsir, Eks Ketum PB HMI di Daftar Penumpang Sriwijaya Air SJ 182","10/01/2021, 15:32 WIB"
122,5 Kantong Jenazah Berisi Potongan Tubuh Penumpang Sriwijaya Air Diserahkan ke RS Polri Siang Ini,"10/01/2021, 15:32 WIB"
123,"Sering Minum Kopi Bisa Memicu Heartburn, Begini Solusinya","10/01/2021, 15:31 WIB"
124,"Syifa Mila Jadi Korban Sriwijaya Air SJ 182, Chef Aiko: Dia Berjasa di Pernikahan Saya","10/01/2021, 15:30 WIB"
125,"Sriwijaya Air Jatuh di Kepulauan Seribu, Berikut Negara yang Kirim Ucapan Belasungkawa...","10/01/2021, 15:30 WIB"
126,"Captain Afwan, Pilot Sriwijaya SJ 182 Dikenal Religius, Usahanya Merenovasi Masjid Dikenang Warga","10/01/2021, 15:22 WIB"
127,Tim DVI Kerja Sama dengan Sriwijaya Air Dapatkan Data Penumpang,"10/01/2021, 15:21 WIB"
128,Modifikasi Vespa Ekstrem Bisa Denda Puluhan Juta Rupiah,"10/01/2021, 15:21 WIB"
129,"UPDATE: Bertambah 9.640, Kasus Covid-19 Indonesia Capai 828.026 Orang","10/01/2021, 15:18 WIB"
130,"Pandemi, Universitas Muria Kudus Terus Kembangkan Metode Kuliah Daring","10/01/2021, 15:18 WIB"
131,Kucing Muntah Air? Kenali Penyebab dan Penanganannya,"10/01/2021, 15:17 WIB"
132,"Tragedi Sriwijaya Air SJ 182, Gubernur Sumbar: Semoga Ada Keajaiban dari Allah Swt","10/01/2021, 15:11 WIB"
133,"Marak Influencer Saham, Ini Hal yang Harus Diwaspadai Investor Pemula","10/01/2021, 15:10 WIB"
134,Pengusaha Teriak Dampak Negatif PSBB Jawa Bali pada Daya Beli,"10/01/2021, 15:08 WIB"
135,Trump Berniat Kerahkan Tentara untuk Lindungi Pendukung Saat Demo di Capitol,"10/01/2021, 15:07 WIB"
136,"Siap-siap, Tarif Tol JORR Naik Lagi","10/01/2021, 15:07 WIB"
137,"Tutup Tempat Wisata, Klaten Beri Sanksi untuk Pelanggar","10/01/2021, 15:03 WIB"
138,"""Kompas.com"" Gowes di Pangandaran, Berbagi dan Menebar Optimisme Melalui Bersepeda","10/01/2021, 15:00 WIB"
139,"Juventus Vs Sassuolo, Ronaldo Punya Waktu Favorit untuk Cetak Gol","10/01/2021, 15:00 WIB"
140,"""Dia Tak Seharusnya di Penerbangan Itu, Jadwalnya Tiba-tiba Diganti""","10/01/2021, 14:58 WIB"
141,Daftar 11 Daerah di Jawa Timur yang Terapkan PPKM 11-25 Januari 2021,"10/01/2021, 14:57 WIB"
142,"Seorang Wanita Dianiaya Oknum Satpol PP Pakai Kayu hingga Babak Belur, Begini Ceritanya","10/01/2021, 14:53 WIB"
143,"Sinopsis Wedding Agreement, Kisah Perjodohan Orangtua yang Memilukan","10/01/2021, 14:53 WIB"
144,"Maling Tak Sengaja Duduki Ponsel dan Menelepon Polisi, Akhirnya Diringkus Aparat","10/01/2021, 14:51 WIB"
145,"Jane Shalimar Doakan Kawannya, Mantan Ketua HMI yang Jadi Penumpang SJ 182","10/01/2021, 14:51 WIB"
146,"Ingin Lolos di SNMPTN 2021? Yuk, Perhatikan Hal Berikut","10/01/2021, 14:50 WIB"
147,Pakistan Bertahap Pulihkan Listrik Setelah Pemadaman Nasional,"10/01/2021, 14:43 WIB"
148,12 Cara Atasi Rasa Sedih Saat Kehilangan Orang yang Dicintai,"10/01/2021, 14:42 WIB"
149,RS Polri Terima Laporan dari 12 Keluarga Korban Sriwijaya Air,"10/01/2021, 14:41 WIB"
