,Nama Produk,Harga Awal,Harga Discount,Banyaknya Terjual
0,Antvic Antivirus 5L,Rp 695.500,Rp 650.000,0 TERJUAL
1,SanDisk SDXC 256GB Extreme Pro up to 170MB/S,Rp 1.500.000,Rp 1.235.000,0 TERJUAL
2,Sisir Rambut Hewan Peliharaan Bahan ABS,Rp 81.011,Rp 40.365,6 TERJUAL
3,Luna The Glow Foundation 30ml,Rp 488.856,Rp 273.600,0 TERJUAL
4,Headset Plug Jack 3.5mm,Rp 59.000,Rp 29.000,39 TERJUAL
5,Kinky Muk Curl Amplifier,Rp 250.000,Rp 247.000,0 TERJUAL
6,Xiaomi Dreame V10 Boreas Handled Vacuum Cleaner,Rp 2.590.000,Rp 2.499.900,0 TERJUAL
7,Mangkok Sambal Kotak Kemasan Plastik (50pcs),Rp 67.500,Rp 64.999,0 TERJUAL
8,Fantech Space Edition Blake X17 Mouse Gaming,Rp 499.000,Rp 244.000,4 TERJUAL
9,Watchout Sandal WY3001403,Rp 399.900,Rp 275.740,1 TERJUAL
10,Captain Water Based Pomade,Rp 90.000,Rp 89.000,0 TERJUAL
11,Baterai Kancing,Rp 1.000,Rp 99,18 TERJUAL
12,Klip Penjepit Foto dengan Bahan Kayu,Rp 22.738,Rp 99,9 TERJUAL
13,Anting Rantai Hip Hop untuk Wanita CC331,Rp 35.925,Rp 99,36 TERJUAL
14,Ikat Rambut Model Tali Kepang untuk Wanita,Rp 107.662,Rp 99,29 TERJUAL
15,Tali Rambut Kepang untuk Wanita,Rp 41.723,Rp 99,31 TERJUAL
16,Klip Holder Pasta Gigi Manual untuk Kamar Mandi,Rp 27.058,Rp 88,79 TERJUAL
17,Gantungan Dinding Pengait Bahan PP & PE Warna Transparan,Rp 5.457,Rp 99,18 TERJUAL
18,Stiker Kertas Kraft Tulisan Thank You Warna Hitam,Rp 6.708,Rp 99,12 TERJUAL
19,Stiker Dinding Bahan Plastik Tahan Air,Rp 39.336,Rp 99,12 TERJUAL
20,Floe Topper Kue Tulisan Happy Birthday Bahan Akrilik,Rp 29.218,Rp 99,18 TERJUAL
21,Bando Bahan Plastik Motif Polos,Rp 21.877,Rp 99,29 TERJUAL
22,Kunci Pengaman Lemari Warna Biru Putih Bahan PP untuk Melindungi Anak,Rp 11.028,Rp 999,14 TERJUAL
23,SJCAM C100 Thumb Size Tiny Waterproof Camera Full HD 1080p - Purple,Rp 2.000.000,Rp 835.000,0 TERJUAL
24,Sandal Pria Camel,Rp 479.900,Rp 97.520,8 TERJUAL
25,Sandal Spons Jepit Teplek Wanita,Rp 5.600,Rp 4.999,21 TERJUAL
26,Set Cincin Bahan Alloy (5pcs),Rp 6.800,Rp 4.999,17 TERJUAL
27,Ilikestore Switch On/Off Terminal Aki,Rp 138.926,Rp 55.512,1 TERJUAL
28,Penghapus Pensil (2pcs),Rp 20.000,Rp 4.999,0 TERJUAL
29,Gree Air Purifier Anti Virus GCF200AANA,Rp 2.699.000,Rp 2.430.000,0 TERJUAL
30,Bike Brake Cables (2pcs),Rp 18.531,Rp 9.999,3 TERJUAL
31,Silicone Case with Hook for Apple AirPods 1/2,Rp 50.000,Rp 9.999,55 TERJUAL
32,Kabel OTG untuk iPhone,Rp 30.582,Rp 9.999,13 TERJUAL
33,Voucher Black Desert 122 pearls,Rp 49.500,Rp 48.000,2 TERJUAL
34,Telkomsel Paket Data 12GB,Rp 100.000,Rp 97.000,1815 TERJUAL
35,Makaroni Bantet Tasikmalaya 500gr,Rp 30.000,Rp 23.500,7 TERJUAL
36,3 Pulsa 100.000,Rp 100.000,Rp 96.000,918 TERJUAL
37,Voucher Alam Laut Cumi Bakar Bumbu Special Rp53.000,Rp 89.000,Rp 53.000,0 TERJUAL
38,Voucher Clash of Clans 80 Gems,Rp 16.500,Rp 15.000,11 TERJUAL
39,Indosat Pulsa 1.000.000,Rp 1.000.000,Rp 939.000,35 TERJUAL
40,Voucher Shabu & BBQ Street Rp100.000,Rp 100.000,Rp 87.000,0 TERJUAL
41,Indosat Pulsa 25.000,Rp 25.250,Rp 24.600,3188 TERJUAL
42,Voucher Acqua Spa and Wellness Body Treatment 90 Menit,Rp 850.000,Rp 612.000,0 TERJUAL
43,Voucher KALM - Konseling Online 3 Hari,Rp 99.000,Rp 29.700,6 TERJUAL
44,Axis Pulsa 500.000,Rp 500.000,Rp 489.000,31 TERJUAL
45,"Voucher Victory Mulia Cuci,Vacuum & Fogging Rp188.000",Rp 268.000,Rp 188.000,1 TERJUAL
46,Charm Pembalut Safe Night 42cm Gather 8 Pads (3 Packs),Rp 70.800,Rp 52.700,6 TERJUAL
47,Lexar Flashdisk 32GB USB 3.1 JumpDrive M45,Rp 180.000,Rp 85.999,3 TERJUAL
48,3 Paket Data Mix Small 5GB,Rp 5.000,Rp 4.500,2400 TERJUAL
49,Voucher Agoda Diskon Hotel s/d Rp 500ribu,Rp 10.000,Rp 999,170 TERJUAL
50,Voucher Grab Food Rp 20.000,Rp 20.000,Rp 16.000,93 TERJUAL
51,Axis Pulsa 5000,Rp 6.500,Rp 5.700,2179 TERJUAL
52,Telkomsel Paket Data MAXstream Gala 24GB,Rp 100.000,Rp 96.000,98 TERJUAL
53,Voucher Lyto Credits 12500 Coins,Rp 55.000,Rp 49.500,4 TERJUAL
54,Indosat Pake Data Kuota Apps Di Rumah Aja 5GB / 3 Hari,Rp 17.000,Rp 13.000,86 TERJUAL
55,Voucher Mobile Legends 50+5 Diamonds,Rp 16.500,Rp 15.500,250 TERJUAL
56,"XL Paket Data HotRod 24Jam 3GB, 30 Hari",Rp 60.000,Rp 52.000,164 TERJUAL
57,Axis Paket Data Bronet Mini 2GB 7 Hari,Rp 19.900,Rp 16.500,664 TERJUAL
58,Voucher Nasi Lemak Penang Rasa Paket C (5 Porsi),Rp 200.000,Rp 146.000,0 TERJUAL
59,"XL Paket AnyNet 150 Menit, 30 Hari",Rp 40.000,Rp 32.000,66 TERJUAL
60,Appetite Zig Zag Botol Minum 400ml,Rp 60.000,Rp 20.000,0 TERJUAL
61,"Indosat Paket Data Freedom Combo 50GB, 30 hari",Rp 150.000,Rp 145.000,100 TERJUAL
62,Voucher Sekolah Desain - Adobe Photoshop Class,Rp 300.000,Rp 90.000,2 TERJUAL
63,Voucher EverArtBeauty Sulam Bibir Rp1.500.000,Rp 1.500.000,Rp 1.230.000,0 TERJUAL
64,Axis Paket Data OWSEM 32GB + Unlimited Games 30 hari,Rp 65.900,Rp 55.000,149 TERJUAL
65,Indosat Paket Data Freedom Kuota Harian 1GB/hari (Total 14GB) / 14 Hari,Rp 39.900,Rp 36.500,432 TERJUAL
66,Voucher Photobook Cetak Foto 4R 100 Lembar,Rp 160.000,Rp 40.000,11 TERJUAL
67,3 Paket Data AddOn 32GB,Rp 75.000,Rp 68.000,406 TERJUAL
68,Natur -E Advanced (Isi 32 Kapsul),Rp 69.899,Rp 68.000,SEGERA HABIS
69,3 Paket Data Happy 18GB,Rp 70.000,Rp 66.000,737 TERJUAL
70,Paket Dekorasi Balon Foil Natal,Rp 125.000,Rp 110.000,0 TERJUAL
71,Tie Dye Setelan Rayon Motif,Rp 118.000,Rp 65.500,15 TERJUAL
72,Kenmaster Alat Kupas Buah,Rp 66.500,Rp 52.000,0 TERJUAL
73,Sandal Jepit Kesehatan Pria,Rp 83.496,Rp 45.439,16 TERJUAL
74,Tali Sepatu Kulit,Rp 49.000,Rp 9.900,1 TERJUAL
75,Kemeja Denim Wanita Lengan Panjang,Rp 260.859,Rp 133.280,1 TERJUAL
76,Xiaomi True Wireless TWS Earphones 2S Environmental Noise Cancellation,Rp 899.000,Rp 790.000,3 TERJUAL
77,Salonpas Liniment 50ml,Rp 20.600,Rp 18.300,2 TERJUAL
78,SUN Beras Merah Ekonomis (120gr x 5pcs),Rp 34.000,Rp 27.500,1 TERJUAL
79,Kazel T-Shirt Polos Girl Pink Edition,Rp 105.000,Rp 83.900,2 TERJUAL
80,Colorbox Cargo Pants with Buckle,Rp 349.900,Rp 261.900,2 TERJUAL
81,Smileofen Screw 35mm Dart Nylon (12pcs),Rp 56.275,Rp 13.224,0 TERJUAL
82,Lakban Bening 2inch (45mm X 72Y),Rp 29.500,Rp 26.000,21 TERJUAL
83,Rak Sepatu 4 Susun,Rp 105.000,Rp 51.000,1 TERJUAL
84,Cincin Berlian Imitasi (17pcs),Rp 55.707,Rp 20.520,3 TERJUAL
85,Tas Bayi Besar Snobby Saku,Rp 142.400,Rp 112.282,1 TERJUAL
86,Papatonk Shrimp Crackers Hot Chili & Lime 85gr,Rp 22.100,Rp 14.500,2 TERJUAL
87,Xiaomi Redmi Note 9 Pro 6GB+64GB Snapdragon720G White (Free Bigetron Case),Rp 3.499.000,Rp 3.098.000,51 TERJUAL
88,Keyboard Mouse Gaming,Rp 879.000,Rp 279.000,31 TERJUAL
89,Advance Induction Cooker IDC100 Kompor Listrik Induksi IDC-100,Rp 299.000,Rp 199.000,1 TERJUAL
90,Fujifilm Kit 15-45mm Mirrorless Kamera 64GB,Rp 6.690.000,Rp 6.599.000,0 TERJUAL
91,Louis Andreano Dompet Pria,Rp 479.000,Rp 245.270,3 TERJUAL
92,Downy Pelembut Pakaian Sweetheart Refill 1.5L,Rp 58.500,Rp 54.999,0 TERJUAL
93,Clevamama Baby Pillow Case Sarung Bantal Bayi,Rp 139.000,Rp 117.500,0 TERJUAL
94,Kabel USB Tipe C Fast Charging dengan LED,Rp 77.308,Rp 45.600,8 TERJUAL
95,Thermostat Pengontrol Temperatur,Rp 75.400,Rp 36.340,1 TERJUAL
96,Maestro Thousand Island Standing Pouch 180gr,Rp 8.300,Rp 5.500,3 TERJUAL
97,Uneed Hybrid Pro Anti Break Screen Protector Handphone Full Cover,Rp 199.000,Rp 71.900,54 TERJUAL
98,Imagic Palet Eyeshadow 13 Warna,Rp 312.641,Rp 111.720,3 TERJUAL
99,Bata Sandal Slip Pria Salah Brown 8714109,Rp 299.900,Rp 119.900,7 TERJUAL
100,Balon Latex (100pcs),Rp 42.000,Rp 31.899,4 TERJUAL
101,Tepung Takoyaki Premix Instan 480gr,Rp 23.999,Rp 18.400,0 TERJUAL
102,Panacea Whitez Lotion,Rp 14.500,Rp 13.900,1 TERJUAL
103,Benchmade Folding Comb,Rp 60.000,Rp 59.300,0 TERJUAL
104,Xiaomi Redmi Note 9 Pro 6GB+64GB Snapdragon720G Grey (Free Bigetron Case),Rp 3.499.000,Rp 3.098.000,67 TERJUAL
105,Dove Hair Growth Ritual Conditioner 160ml,Rp 27.000,Rp 14.700,3 TERJUAL
106,Ornamen Topper Kue Desain Kartun Singa Bahan Polymer,Rp 48.317,Rp 15.732,0 TERJUAL
107,Salonpas Koyo Pereda Nyeri (10 Sachet/Box),Rp 63.500,Rp 58.000,0 TERJUAL
108,Sarwendah Juice 350ml,Rp 175.000,Rp 173.100,16 TERJUAL
109,Bohlam Halogen Philips H4 12V 60-55W,Rp 24.000,Rp 22.999,10 TERJUAL
110,Kerupuk Seblak,Rp 12.500,Rp 7.500,7 TERJUAL
111,Cajun Spice Mix (55gr x 3pcs),Rp 33.000,Rp 28.500,0 TERJUAL
112,M231 Kemeja Pria Batik Pendek Warna Hitam 1670,Rp 449.000,Rp 138.999,3 TERJUAL
113,Little Giant Character Silicone Spoon Sendok Bayi,Rp 50.000,Rp 33.250,1 TERJUAL
114,Dumbbell Sit Up Bench Fitness,Rp 1.000.000,Rp 804.500,3 TERJUAL
115,Sepatu Sneakers Hollow Breathable Warna Terang,Rp 300.000,Rp 195.000,6 TERJUAL
116,Sleek Baby Bottle Nipple & Accessories Cleanser Pouch 450ml + Laundry Detergent Pouch 450ml,Rp 62.700,Rp 48.000,3 TERJUAL
117,Myqueen Dress Mini A-Line V-Neck Lengan Pendek,Rp 215.580,Rp 119.680,8 TERJUAL
118,(Paket) Flek Whitening Wajah,Rp 124.888,Rp 122.640,29 TERJUAL
119,Jas Hujan Setelan Paramount Scotchlight,Rp 43.999,Rp 39.300,66 TERJUAL
120,Kelfi Setelan Baju Anak Perempuan 1-8 Tahun Pony Edition,Rp 22.900,Rp 19.107,SEGERA HABIS
121,Hyouka 5: Approximating Distance Between Two People,Rp 93.000,Rp 67.000,1 TERJUAL
122,Kartu Ucapan Natal Bentuk Hati,Rp 10.000,Rp 87,0 TERJUAL
123,Baellerry Dompet,Rp 99.000,Rp 24.999,4 TERJUAL
124,Jurus Sehat Rasulullah Karya Dr Zaidul Akbar,Rp 99.000,Rp 64.900,6 TERJUAL
125,Blackmores I-Folic 150 Tablet,Rp 153.000,Rp 148.900,11 TERJUAL
126,Kantong Ziplock Holder Masker,Rp 20.919,Rp 88,19 TERJUAL
127,Set Pistol Semprot Cat Udara,Rp 540.000,Rp 450.000,0 TERJUAL
128,Snapback T-Shirt Barong,Rp 149.900,Rp 99.900,0 TERJUAL
129,Kain Lap Chamois Kanebo Jumbo,Rp 5.500,Rp 5.100,SEGERA HABIS
130,Ulanzi VL49 LED Built-In Battery,Rp 145.000,Rp 108.000,13 TERJUAL
